line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
5924500,T10000,P1199,PR112,4,1506.2
6802339,T10000,P1171,PR123,4,788.56
257808,T10001,P1051,PR125,5,2352.65
1512733,T10001,P1188,PR101,1,16.52
9380375,T10001,P1140,PR115,3,382.89
4639032,T10002,P1089,PR137,3,1057.41
3263592,T10002,P1057,PR145,5,1084.75
9645335,T10002,P1116,PR100,4,1952.2
6830586,T10003,P1066,PR148,2,561.24
1214436,T10004,P1027,PR110,5,830.35
5703682,T10004,P1128,,3,272.34
4323378,T10004,P1029,PR134,5,1632.85
7428426,T10005,P1147,PR142,3,1285.35
8113964,T10005,P1096,PR128,5,113.95
5698562,T10005,P1197,PR136,2,289.22
9845316,T10006,P1174,PR116,4,1100.32
1950659,T10006,P1007,PR138,4,1457.4
3697402,T10007,P1017,PR141,4,220.92
5297083,T10007,P1173,PR127,2,463.68
8986748,T10008,P1090,PR128,5,1994.6
4165072,T10008,P1002,PR142,3,1347.36
5737689,T10009,P1023,PR102,4,1310.88
2994494,T10009,P1019,PR109,5,37.55
3666932,T10010,P1080,PR141,3,450.99
3066615,T10010,P1146,PR113,3,75.48
8371820,T10011,P1174,PR111,2,550.16
3940320,T10011,P1188,PR146,2,33.04
4452764,T10011,P1188,PR141,2,33.04
4189195,T10012,P1058,PR129,2,966.98
1789950,T10013,P1091,PR131,2,891.1
8265545,T10013,P1030,PR131,1,425.37
9084426,T10013,P1157,PR141,1,319.37
5291818,T10014,P1123,PR131,3,52.65
8234348,T10015,P1147,PR125,3,1285.35
4702094,T10015,P1046,,5,1813.05
2151611,T10016,P1056,PR100,5,2322.6
7099713,T10016,P1013,PR141,5,425.05
8430136,T10017,P1138,PR101,1,307.8
2932664,T10017,P1088,PR116,4,1306.92
7718704,T10018,P1030,PR129,5,2126.85
198307,T10018,P1080,PR138,1,150.33
9747701,T10019,P1053,PR106,4,1831.44
6066681,T10019,P1025,PR126,3,1072.59
3139897,T10019,P1156,PR108,3,929.55
4519921,T10020,P1067,PR121,2,936.8
5756204,T10020,P1120,PR133,5,695.3
8367973,T10020,P1093,PR145,2,381.82
6246320,T10021,P1053,PR148,4,1831.44
4691406,T10021,P1093,PR100,4,763.64
2200151,T10022,P1046,PR108,5,1813.05
1675537,T10022,P1147,PR119,2,856.9
9317060,T10023,P1069,PR118,2,574.36
3289395,T10023,P1110,PR135,4,189.0
7935406,T10023,P1037,PR139,2,973.28
8381861,T10024,P1045,PR144,4,406.6
8958742,T10025,P1161,PR103,5,1270.25
5033739,T10026,P1080,PR108,4,601.32
9526683,T10026,P1064,PR140,5,809.4
1660522,T10026,P1012,PR121,4,186.6
3614942,T10027,P1041,PR117,1,398.43
1615678,T10027,P1065,PR111,4,355.6
4358203,T10027,P1115,PR141,3,1093.26
9353156,T10028,P1092,PR142,5,861.55
332782,T10028,P1065,PR138,3,266.7
3337964,T10029,P1031,PR108,3,991.56
9033495,T10029,P1147,PR105,5,2142.25
5957742,T10030,P1199,PR118,3,1129.65
8178788,T10031,P1172,PR147,5,1617.15
1315460,T10031,P1198,PR146,4,371.32
7780469,T10032,P1157,PR106,3,958.11
2811451,T10032,P1161,PR115,2,508.1
9590488,T10033,P1086,PR104,4,1013.0
1327278,T10033,P1103,PR115,1,412.19
3828862,T10033,P1041,PR100,3,1195.29
4487443,T10034,P1081,,3,1216.89
4550788,T10034,P1154,PR136,4,879.04
9846880,T10035,P1199,PR138,3,1129.65
6945584,T10035,P1133,PR118,4,1327.2
2097822,T10036,P1047,PR136,1,143.98
1343264,T10037,P1060,PR116,3,1281.72
6661320,T10037,P1053,PR125,2,915.72
1070259,T10037,P1026,PR121,1,122.44
442330,T10038,P1140,PR107,1,127.63
8790973,T10038,P1197,PR132,4,578.44
2605072,T10039,P1026,PR101,3,367.32
5190379,T10040,P1167,PR129,4,72.48
7434999,T10041,P1063,PR146,3,1278.93
8837270,T10042,P1032,PR119,2,572.62
589803,T10042,P1043,PR117,1,290.57
5455973,T10042,P1169,PR142,3,1411.23
4570356,T10043,P1119,PR109,5,1993.1
2266852,T10043,P1140,PR123,4,510.52
9912499,T10044,P1138,PR103,2,615.6
9462090,T10044,P1152,PR136,4,957.48
8955412,T10044,P1111,PR103,5,152.9
9054129,T10045,P1088,PR112,4,1306.92
7413186,T10045,P1058,PR124,1,483.49
4358839,T10046,P1093,PR112,4,763.64
177098,T10046,P1039,PR117,3,1339.68
5769432,T10047,P1133,PR123,2,663.6
139538,T10048,P1120,PR101,5,695.3
8003858,T10048,P1176,PR147,4,784.48
4914426,T10049,P1002,PR132,4,1796.48
121098,T10049,P1152,PR118,2,478.74
6907782,T10050,P1095,PR108,2,582.5
6622841,T10050,P1143,PR127,4,48.48
6538472,T10050,P1063,PR134,2,852.62
1328919,T10051,P1056,PR138,3,1393.56
8667279,T10051,P1108,PR109,2,223.66
4776086,T10052,P1177,PR100,3,1442.37
